entity,coupled,degree,average-revs
content-packs/CocoGovernanceEngineDefinitionsArchive.omarchive,content-packs/CocoOrganizationArchive.omarchive,100,13
content-packs/CocoClinicalTrialsTemplatesArchive.omarchive,content-packs/CocoTypesArchive.omarchive,100,13
content-packs/CocoClinicalTrialsTemplatesArchive.omarchive,content-packs/CocoGovernanceEngineDefinitionsArchive.omarchive,100,13
content-packs/CocoGovernanceEngineDefinitionsArchive.omarchive,content-packs/CocoSustainabilityArchive.omarchive,100,13
content-packs/CocoGovernanceProgramArchive.omarchive,content-packs/CocoOrganizationArchive.omarchive,100,13
content-packs/CocoComboArchive.omarchive,content-packs/CocoOrganizationArchive.omarchive,100,13
content-packs/CocoClinicalTrialsTemplatesArchive.omarchive,content-packs/CocoSustainabilityArchive.omarchive,100,13
content-packs/CocoGovernanceEngineDefinitionsArchive.omarchive,content-packs/CocoGovernanceProgramArchive.omarchive,100,13
content-packs/CocoComboArchive.omarchive,content-packs/CocoGovernanceProgramArchive.omarchive,100,13
content-packs/CocoBusinessSystemsArchive.omarchive,content-packs/CocoComboArchive.omarchive,100,13
content-packs/CocoBusinessSystemsArchive.omarchive,content-packs/CocoGovernanceEngineDefinitionsArchive.omarchive,100,13
content-packs/CocoGovernanceProgramArchive.omarchive,content-packs/CocoSustainabilityArchive.omarchive,100,13
content-packs/CocoOrganizationArchive.omarchive,content-packs/CocoTypesArchive.omarchive,100,13
content-packs/CocoGovernanceProgramArchive.omarchive,content-packs/CocoTypesArchive.omarchive,100,13
content-packs/CocoSustainabilityArchive.omarchive,content-packs/CocoTypesArchive.omarchive,100,13
content-packs/CocoBusinessSystemsArchive.omarchive,content-packs/CocoClinicalTrialsTemplatesArchive.omarchive,100,13
content-packs/CocoBusinessSystemsArchive.omarchive,content-packs/CocoGovernanceProgramArchive.omarchive,100,13
content-packs/CocoBusinessSystemsArchive.omarchive,content-packs/CocoSustainabilityArchive.omarchive,100,13
content-packs/CocoOrganizationArchive.omarchive,content-packs/CocoSustainabilityArchive.omarchive,100,13
content-packs/CocoClinicalTrialsTemplatesArchive.omarchive,content-packs/CocoComboArchive.omarchive,100,13
content-packs/CocoBusinessSystemsArchive.omarchive,content-packs/CocoOrganizationArchive.omarchive,100,13
content-packs/CocoComboArchive.omarchive,content-packs/CocoSustainabilityArchive.omarchive,100,13
content-packs/CocoBusinessSystemsArchive.omarchive,content-packs/CocoTypesArchive.omarchive,100,13
content-packs/CocoComboArchive.omarchive,content-packs/CocoGovernanceEngineDefinitionsArchive.omarchive,100,13
content-packs/CocoComboArchive.omarchive,content-packs/CocoTypesArchive.omarchive,100,13
content-packs/CocoGovernanceEngineDefinitionsArchive.omarchive,content-packs/CocoTypesArchive.omarchive,100,13
content-packs/CocoClinicalTrialsTemplatesArchive.omarchive,content-packs/CocoGovernanceProgramArchive.omarchive,100,13
content-packs/CocoClinicalTrialsTemplatesArchive.omarchive,content-packs/CocoOrganizationArchive.omarchive,100,13
open-metadata-implementation/access-services/information-view/information-view-server/src/main/java/org/odpi/openmetadata/accessservices/informationview/lookup/ColumnLookup.java,open-metadata-implementation/access-services/information-view/information-view-server/src/main/java/org/odpi/openmetadata/accessservices/informationview/lookup/DatabaseLookup.java,100,11
content-packs/ApacheAtlasContentPack.omarchive,content-packs/UnityCatalogContentPack.omarchive,100,10
content-packs/APIsContentPack.omarchive,content-packs/PostgresContentPack.omarchive,100,10
content-packs/ApacheAtlasContentPack.omarchive,content-packs/ApacheKafkaContentPack.omarchive,100,10
content-packs/ApacheKafkaContentPack.omarchive,content-packs/PostgresContentPack.omarchive,100,10
content-packs/APIsContentPack.omarchive,content-packs/ApacheKafkaContentPack.omarchive,100,10
