source_file,target_file,import,contain,parameter,call,return,throw,implement,extend,create,use,cast,impllink,annotation,mixin
open-metadata-implementation/view-server-generic-services/asset-maker/asset-maker-server/src/main/java/org/odpi/openmetadata/viewservices/assetmaker/server/AssetMakerInstanceHandler.java,open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/handlers/SchemaAttributeHandler.java,1,0,0,0,1,0,0,0,0,0,0,0,0,0
open-metadata-implementation/adapters/open-connectors/system-connectors/egeria-system-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/egeriainfrastructure/platform/catalog/OMAGServerPlatformCatalogConnector.java,open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/properties/assets/infrastructure/SoftwareServerProperties.java,1,1,0,1,0,0,0,0,1,2,2,0,0,0
open-metadata-implementation/repository-services/repository-services-implementation/src/main/java/org/odpi/openmetadata/repositoryservices/localrepository/repositorycontentmanager/OMRSRepositoryContentValidator.java,open-metadata-implementation/repository-services/repository-services-apis/src/main/java/org/odpi/openmetadata/repositoryservices/ffdc/exception/InvalidTypeDefException.java,0,0,0,2,0,2,0,0,2,0,0,0,0,0
open-metadata-implementation/adapters/open-connectors/system-connectors/egeria-system-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/egeriainfrastructure/extractor/EgeriaExtractor.java,open-metadata-implementation/admin-services/admin-services-api/src/main/java/org/odpi/openmetadata/adminservices/configuration/properties/BasicServerProperties.java,0,0,0,3,0,0,0,0,0,0,0,0,0,0
open-metadata-implementation/view-services/community-matters/community-matters-spring/src/main/java/org/odpi/openmetadata/viewservices/communitymatters/server/spring/CommunityMattersResource.java,open-metadata-implementation/common-services/ffdc-services/src/main/java/org/odpi/openmetadata/commonservices/ffdc/rest/TemplateRequestBody.java,0,0,1,0,0,0,0,0,0,0,0,0,0,0
open-metadata-implementation/adapters/open-connectors/system-connectors/egeria-system-connectors/src/main/java/org/odpi/openmetadata/adapters/connectors/egeriainfrastructure/extractor/EgeriaExtractor.java,open-metadata-implementation/admin-services/admin-services-api/src/main/java/org/odpi/openmetadata/adminservices/classifier/ServerTypeClassifier.java,1,1,0,2,0,0,0,0,1,0,0,0,0,0
open-metadata-conformance-suite/open-metadata-conformance-suite-server/src/main/java/org/odpi/openmetadata/conformance/tests/repository/instances/TestSupportedEntityReferenceCopyLifecycle.java,open-metadata-implementation/repository-services/repository-services-apis/src/main/java/org/odpi/openmetadata/repositoryservices/connectors/stores/metadatacollectionstore/repositoryconnector/OMRSRepositoryHelper.java,1,1,0,1,0,0,0,0,0,1,0,0,0,0
open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/properties/connections/ServerEndpointProperties.java,open-metadata-implementation/frameworks/open-metadata-framework/src/main/java/org/odpi/openmetadata/frameworks/openmetadata/types/OpenMetadataType.java,1,0,0,0,0,0,0,0,0,2,0,0,0,0
open-metadata-conformance-suite/open-metadata-conformance-suite-api/src/main/java/org/odpi/openmetadata/conformance/beans/OpenMetadataConformanceRequirementResults.java,open-metadata-conformance-suite/open-metadata-conformance-suite-api/src/main/java/org/odpi/openmetadata/conformance/beans/OpenMetadataConformanceRequirementSummary.java,0,0,0,7,0,0,0,1,0,0,0,0,0,0
open-metadata-implementation/view-services/community-matters/community-matters-spring/src/main/java/org/odpi/openmetadata/viewservices/communitymatters/server/spring/CommunityMattersResource.java,open-metadata-implementation/common-services/ffdc-services/src/main/java/org/odpi/openmetadata/commonservices/ffdc/rest/UpdateElementRequestBody.java,0,0,1,0,0,0,0,0,0,0,0,0,0,0
