source_package,target_package,WDS,DD,NWDS,FINAL_SCORE
org.odpi.openmetadata.opentypes,org.odpi.openmetadata.repositoryservices.archiveutilities,16062,7,16062.0,33399.99004246152
org.odpi.openmetadata.opentypes,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.typedefs,12214,7,12214.0,25398.298990077514
org.odpi.openmetadata.frameworks.openmetadata.handlers,org.odpi.openmetadata.frameworks.openmetadata.search,9599,8,9599.0,21091.158717850372
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,6994,8,6994.0,15367.38869388952
org.odpi.openmetadata.commonservices.generichandlers,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,6671,8,6671.0,14657.685155409921
org.odpi.openmetadata.frameworks.openmetadata.converters,org.odpi.openmetadata.frameworks.openmetadata.search,6091,7,6091.0,12665.87843037188
org.odpi.openmetadata.opentypes,org.odpi.openmetadata.frameworks.openmetadata.types,9960,2,9960.0,10942.178395134373
org.odpi.openmetadata.frameworks.openmetadata.builders,org.odpi.openmetadata.frameworks.openmetadata.search,5118,7,5118.0,10642.581810317399
org.odpi.openmetadata.frameworks.openmetadata.mermaid,org.odpi.openmetadata.frameworks.openmetadata.metadataelements,5271,6,5271.0,10256.892395670557
org.odpi.openmetadata.repositoryservices.clients,org.odpi.openmetadata.repositoryservices.rest.properties,4440,7,4440.0,9232.72044505847
org.odpi.openmetadata.frameworks.openmetadata.handlers,org.odpi.openmetadata.frameworks.openmetadata.ffdc,4744,5,4744.0,8500.106922017892
org.odpi.openmetadata.samples.archiveutilities,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,4233,6,4233.0,8237.03766095114
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.ffdc,4544,5,4544.0,8141.7550281722815
org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,3158,8,3158.0,6938.835215227781
org.odpi.openmetadata.repositoryservices.eventmanagement,org.odpi.openmetadata.repositoryservices.events,2990,9,2990.0,6884.729428052197
org.odpi.openmetadata.repositoryservices.rest.server,org.odpi.openmetadata.repositoryservices.rest.properties,3520,6,3520.0,6849.603724674703
org.odpi.openmetadata.frameworks.openmetadata.converters,org.odpi.openmetadata.frameworks.openmetadata.types,6146,2,6146.0,6752.071126154203
org.odpi.openmetadata.repositoryservices.archiveutilities,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.typedefs,3182,7,3182.0,6616.782985625237
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.conformance.workbenches.repository,3424,5,3424.0,6134.9844226368605
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.handlers,3283,5,3283.0,5882.346337475705
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.search,2764,7,2764.0,5747.576421203066
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.utilities,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,2759,7,2759.0,5737.179213494667
org.odpi.openmetadata.adminservices.server,org.odpi.openmetadata.adminservices.configuration.properties,2681,7,2681.0,5574.98277324364
org.odpi.openmetadata.commonservices.repositoryhandler,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,2553,7,2553.0,5308.814255908621
org.odpi.openmetadata.samples.archiveutilities,org.odpi.openmetadata.repositoryservices.archiveutilities,2511,7,2511.0,5221.477711158068
org.odpi.openmetadata.adapters.connectors.apacheatlas.integration.modules,org.odpi.openmetadata.adapters.connectors.apacheatlas.resource.properties,2280,7,2280.0,4741.1267150300255
