packageA,packageB,CODE-DEPENDENCY,CO-DEPENDENCY,CATEGORY
org.odpi.openmetadata.adapters.repositoryservices.inmemory.repositoryconnector,org.odpi.openmetadata.adapters.repositoryservices.rest.repositoryconnector,LOW,HIGH,HIDDEN_DEPENDENCY
org.odpi.openmetadata.repositoryservices.clients,org.odpi.openmetadata.repositoryservices.rest.server.spring,LOW,HIGH,HIDDEN_DEPENDENCY
org.odpi.openmetadata.adapters.repositoryservices.rest.repositoryconnector,org.odpi.openmetadata.repositoryservices.rest.server,LOW,HIGH,HIDDEN_DEPENDENCY
org.odpi.openmetadata.metadatasecurity.connectors,org.odpi.openmetadata.metadatasecurity.server,LOW,HIGH,HIDDEN_DEPENDENCY
org.odpi.openmetadata.adapters.connectors.governanceactions.ffdc,org.odpi.openmetadata.adapters.connectors.governanceactions.provisioning,LOW,HIGH,HIDDEN_DEPENDENCY
org.odpi.openmetadata.adminservices.client,org.odpi.openmetadata.adminservices.spring,LOW,HIGH,HIDDEN_DEPENDENCY
org.odpi.openmetadata.platformservices.client,org.odpi.openmetadata.platformservices.server,LOW,HIGH,HIDDEN_DEPENDENCY
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.repositoryconnector,org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,LOW,HIGH,HIDDEN_DEPENDENCY
org.odpi.openmetadata.repositoryservices.enterprise.repositoryconnector,org.odpi.openmetadata.repositoryservices.localrepository.repositoryconnector,LOW,HIGH,HIDDEN_DEPENDENCY
org.odpi.openmetadata.adapters.repositoryservices.inmemory.repositoryconnector,org.odpi.openmetadata.repositoryservices.enterprise.repositoryconnector,LOW,HIGH,HIDDEN_DEPENDENCY
org.odpi.openmetadata.repositoryservices.enterprise.connectormanager,org.odpi.openmetadata.repositoryservices.enterprise.repositoryconnector,LOW,HIGH,HIDDEN_DEPENDENCY
org.odpi.openmetadata.adapters.repositoryservices.postgres.repositoryconnector,org.odpi.openmetadata.adapters.repositoryservices.postgres.repositoryconnector.database,HIGH,HIGH,NORMAL or OVERCOUPLED
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,org.odpi.openmetadata.repositoryservices.localrepository.repositoryconnector,HIGH,HIGH,NORMAL or OVERCOUPLED
org.odpi.openmetadata.platformservices.server,org.odpi.openmetadata.platformservices.server.spring,HIGH,HIGH,NORMAL or OVERCOUPLED
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,org.odpi.openmetadata.repositoryservices.enterprise.repositoryconnector,HIGH,HIGH,NORMAL or OVERCOUPLED
org.odpi.openmetadata.adapters.repositoryservices.inmemory.repositoryconnector,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,HIGH,HIGH,NORMAL or OVERCOUPLED
org.odpi.openmetadata.adapters.repositoryservices.rest.repositoryconnector,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,HIGH,HIGH,NORMAL or OVERCOUPLED
org.odpi.openmetadata.opentypes,org.odpi.openmetadata.repositoryservices.archiveutilities,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.opentypes,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.typedefs,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.handlers,org.odpi.openmetadata.frameworks.openmetadata.search,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.generichandlers,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.types,org.odpi.openmetadata.opentypes,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.builders,org.odpi.openmetadata.frameworks.openmetadata.search,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.mermaid,org.odpi.openmetadata.frameworks.openmetadata.metadataelements,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.clients,org.odpi.openmetadata.repositoryservices.rest.properties,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.ffdc,org.odpi.openmetadata.frameworks.openmetadata.handlers,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,org.odpi.openmetadata.samples.archiveutilities,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.ffdc,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.eventmanagement,org.odpi.openmetadata.repositoryservices.events,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.rest.properties,org.odpi.openmetadata.repositoryservices.rest.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.converters,org.odpi.openmetadata.frameworks.openmetadata.types,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.archiveutilities,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.typedefs,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.handlers,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.connectorcontext,org.odpi.openmetadata.frameworks.openmetadata.search,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.utilities,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adminservices.configuration.properties,org.odpi.openmetadata.adminservices.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.repositoryhandler,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.archiveutilities,org.odpi.openmetadata.samples.archiveutilities,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors.apacheatlas.integration.modules,org.odpi.openmetadata.adapters.connectors.apacheatlas.resource.properties,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.handlers,org.odpi.openmetadata.frameworks.openmetadata.metadataelements,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.repositoryservices.inmemory.repositoryconnector,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.typedefs,org.odpi.openmetadata.repositoryservices.localrepository.repositorycontentmanager,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc.rest,org.odpi.openmetadata.viewservices.classificationexplorer.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.handlers,org.odpi.openmetadata.frameworks.openmetadata.properties,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.conformance.tests.repository.instances,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.typedefs,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.types,org.odpi.openmetadata.samples.archiveutilities,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.handlers,org.odpi.openmetadata.frameworks.openmetadata.types,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adminservices.server,org.odpi.openmetadata.commonservices.ffdc,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.client,org.odpi.openmetadata.frameworks.openmetadata.handlers,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.builders,org.odpi.openmetadata.frameworks.openmetadata.types,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.enterprise.repositoryconnector.accumulators,org.odpi.openmetadata.repositoryservices.enterprise.repositoryconnector.executors,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc,org.odpi.openmetadata.viewservices.classificationexplorer.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,org.odpi.openmetadata.repositoryservices.localrepository.repositoryconnector,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.conformance.beans,org.odpi.openmetadata.conformance.tests.repository.instances,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adminservices.server,org.odpi.openmetadata.commonservices.ffdc.rest,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore,org.odpi.openmetadata.repositoryservices.ffdc.exception,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.converters,org.odpi.openmetadata.frameworks.openmetadata.metadataelements,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.repositoryservices.postgres.repositoryconnector,org.odpi.openmetadata.repositoryservices.connectors.stores.metadatacollectionstore.properties.instances,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.converters,org.odpi.openmetadata.frameworks.openmetadata.properties,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.generichandlers,org.odpi.openmetadata.frameworks.openmetadata.types,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.omrstopic,org.odpi.openmetadata.repositoryservices.events,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.commonservices.ffdc.rest,org.odpi.openmetadata.viewservices.actormanager.server,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.frameworks.openmetadata.converters,org.odpi.openmetadata.frameworks.openmetadata.properties.governance,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.adapters.connectors.apacheatlas.resource,org.odpi.openmetadata.adapters.connectors.apacheatlas.resource.properties,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.connectors.stores.archivestore,org.odpi.openmetadata.samples.archiveutilities,HIGH,LOW,CAN BE INCONSISTENT
org.odpi.openmetadata.repositoryservices.events,org.odpi.openmetadata.repositoryservices.localrepository.repositoryconnector,HIGH,LOW,CAN BE INCONSISTENT
